"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"BPASS_COOLDOW_";0;;300;"Охлаждение по препускной линии";1;0;2;16;0;1
"ENG_OP_MODE_CM_";0;;302;"Команда режима работы двигателя";1;0;2;8;0;2
"LAMP_TEST_CMN_";0;;303;"Команда проверки ламп";1;0;2;16;0;1
"ACK_EVENTS_CMN_";0;;304;"Подтвердите все команды событий";1;0;2;16;0;1
"RST_ALL_ADEM_EVT";0;;309;"Сбросить все события, выработанные системой ADEM";1;0;2;2;0;3
"EM_SH_OVR_CMD_";0;;317;"Команда активирования режима подавления аварийной остановки";1;0;2;2;0;3
"INST_BLK_401_";0;;401;"Тип установленного блока";1;0;2;16;0;65535
"DIG_SEL_ACT_1";0;;628;"Команда активирования цифрового селектора № 1";1;0;2;2;0;3
"DIG_SEL_ACT_2";0;;629;"Команда активирования цифрового селектора № 10";1;0;2;2;0;3
"DIG_SEL_ACT_3";0;;630;"Команда активирования цифрового селектора № 10";1;0;2;2;0;3
"DIG_SEL_ACT_4";0;;631;"Команда активирования цифрового селектора № 2";1;0;2;2;0;3
"DIG_SEL_ACT_5";0;;632;"Команда активирования цифрового селектора № 2";1;0;2;2;0;3
"DIG_SEL_ACT_6";0;;633;"Команда активирования цифрового селектора № 3";1;0;2;2;0;3
"DIG_SEL_ACT_7";0;;634;"Команда активирования цифрового селектора № 3";1;0;2;2;0;3
"DIG_SEL_ACT_8";0;;635;"Команда активирования цифрового селектора № 4";1;0;2;2;0;3
"DIG_SEL_ACT_9";0;;636;"Команда активирования цифрового селектора № 4";1;0;2;2;0;3
"DIG_SEL_ACT_10";0;;637;"Команда активирования цифрового селектора № 1";1;0;2;2;0;3
"UPD_RTC";0;;903;"Команда на обновление счетчика времени в реальном масштабе";1;0;6;48;0;0
"RST_ENG_OP_HOUR_";0;;1025;"Сбросить моточасы работы двигателя";1;0;2;16;0;65535
"UPD_END_OP_HOUR_";0;;1026;"Обновить моточасы работы двигателя";0,05;0;4;32;0;210554060,75
"RST_CRNK_CNT_";0;;1028;"Сбросить счетч проворота к/вала";1;0;2;16;0;65535
"RST_GOOD_ST_CNT_";0;;1029;"Сбросить счетчик  успешных пусков";1;0;2;16;0;65535
"RST_KW_METER_";0;;1030;"Сбросить показания счетчика активной мощности";1;0;2;16;0;65535
"RST_KVAR_METER_";0;;1031;"Сбросить показания счетчика реактивной мощности";1;0;2;16;0;65535
"RST_SVC_INT_CNT_";0;;1032;"Сбросить показания счетчика интервалов техничского обслуживания";1;0;2;16;0;65535
"RST_EVENT_";0;;1048;"Сбросить событие";1;0;4;24;0;0
"REM_INIT_CMND_";0;;1055;"Команда запуска дистанционного управления";1;0;2;2;0;3
"ESTOP_CMND_";0;;1056;"Команда аварийного останова";1;0;2;2;0;3
"BPAS_RET_DEL_CM_";0;;1063;"Команда задержки переключения на шунтирующую линию передачи";1;0;2;2;0;3
"AVG_L2L_AC_VOLTS";0;100;;"Среднее линейное среднеквадратичное напряжение переменного тока генератора";1;0;2;16;0;64255
